Price,Close,High,Low,Open,Volume
Ticker,SPCX,SPCX,SPCX,SPCX,SPCX
Date,,,,,
2026-06-12,160.9499969482422,176.52000427246094,149.33999633789062,150.0,519234800
2026-06-15,192.5,193.0,168.35000610351562,171.74000549316406,256226600
2026-06-16,211.38999938964844,225.63999938964844,199.97999572753906,200.50999450683594,195401600
2026-06-17,191.82000732421875,213.8000030517578,187.00999450683594,209.83999633789062,201719500
2026-06-18,185.0,190.0,172.11000061035156,188.38999938964844,272126800
2026-06-22,154.60000610351562,176.75,154.0,176.0399932861328,169183800
2026-06-23,156.11000061035156,165.5,147.11000061035156,151.05999755859375,155848100
2026-06-24,154.5399932861328,159.86000061035156,150.72000122070312,154.1999969482422,76101500
2026-06-25,153.0,160.64999389648438,150.0,156.6300048828125,62212400
2026-06-26,153.22999572753906,158.39999389648438,148.50999450683594,150.6199951171875,126932900
2026-06-29,164.19000244140625,166.1699981689453,151.74000549316406,157.36000061035156,81443100
2026-06-30,170.86000061035156,172.39999389648438,161.63999938964844,163.3800048828125,82047500
2026-07-01,157.5399932861328,171.74000549316406,155.0,171.57000732421875,109317600
2026-07-02,162.0,162.16000366210938,155.8800048828125,159.72999572753906,61257100
2026-07-06,160.4199981689453,167.89999389648438,155.0399932861328,165.9499969482422,188831300
2026-07-07,149.47000122070312,159.3000030517578,148.86000061035156,158.9199981689453,83779700
2026-07-08,148.3000030517578,152.92999267578125,145.1999969482422,152.5500030517578,60620600
